,"Type","Date","Num","Name","Memo","Split","Amount","Balance"
"1030 · New Millennium Operating 0433",,,,,,,,-5562.24
,"Sales Receipt","07/03/2017","115224","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",0.00,-5562.24
,"Sales Receipt","07/03/2017","115224","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-5562.24
,"Sales Receipt","07/03/2017","115224","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",242.00,-5320.24
,"Sales Receipt","07/03/2017","115224","Store Sales","MC/VISA","1500 · Undeposited Store Sales",418.48,-4901.76
,"Sales Receipt","07/03/2017","115224","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-4901.76
,"Sales Receipt","07/03/2017","115224","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-4901.76
,"Sales Receipt","07/03/2017","115224","Store Sales","Payment for previously unpaid item","1500 · Undeposited Store Sales",5.20,-4896.56
,"Bill Pmt -Check","07/03/2017","mastercard","H Mart",,"2000 · Accounts Payable",-8.38,-4904.94
,"Sales Receipt","07/04/2017","115229","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",0.00,-4904.94
,"Sales Receipt","07/04/2017","115229","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-4904.94
,"Sales Receipt","07/04/2017","115229","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",0.00,-4904.94
,"Sales Receipt","07/04/2017","115229","Store Sales","MC/VISA","1500 · Undeposited Store Sales",0.00,-4904.94
,"Sales Receipt","07/04/2017","115229","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-4904.94
,"Sales Receipt","07/04/2017","115229","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-4904.94
,"Sales Receipt","07/04/2017","115229","Store Sales","Payment for previously unpaid item","1500 · Undeposited Store Sales",0.00,-4904.94
,"Sales Receipt","07/05/2017","115223","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",61.03,-4843.91
,"Sales Receipt","07/05/2017","115223","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-4843.91
,"Sales Receipt","07/05/2017","115223","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",225.00,-4618.91
,"Sales Receipt","07/05/2017","115223","Store Sales","MC/VISA","1500 · Undeposited Store Sales",514.12,-4104.79
,"Sales Receipt","07/05/2017","115223","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-4104.79
,"Sales Receipt","07/05/2017","115223","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-4104.79
,"Sales Receipt","07/05/2017","115223","Store Sales","Payment for previously unpaid item","1500 · Undeposited Store Sales",5.51,-4099.28
,"Liability Check","07/06/2017",,"QuickBooks Payroll Service","Created by Payroll Service on 07/05/2017","2111 · Direct Deposit Liabilities",-418.30,-4517.58
,"Sales Receipt","07/06/2017","115225","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",5.69,-4511.89
,"Sales Receipt","07/06/2017","115225","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-4511.89
,"Sales Receipt","07/06/2017","115225","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",318.00,-4193.89
,"Sales Receipt","07/06/2017","115225","Store Sales","MC/VISA","1500 · Undeposited Store Sales",588.64,-3605.25
,"Sales Receipt","07/06/2017","115225","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3605.25
,"Sales Receipt","07/06/2017","115225","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3605.25
,"Sales Receipt","07/06/2017","115225","Store Sales","Payment for previously unpaid item","1500 · Undeposited Store Sales",6.57,-3598.68
,"Check","07/06/2017","online","Internal Revenue Service","222126644/ letter#CP521","6700 · Taxes, Payroll",-205.00,-3803.68
,"Paycheck","07/07/2017","144039","Gallagher, Sean",,"-SPLIT-",-360.08,-4163.76
,"Paycheck","07/07/2017","oldAflcpmt","Phipps, Arnette",,"-SPLIT-",0.00,-4163.76
,"Paycheck","07/07/2017","189","Rechani, Phillip J","Direct Deposit","-SPLIT-",0.00,-4163.76
,"Paycheck","07/07/2017","188","Leary, John","Direct Deposit","-SPLIT-",0.00,-4163.76
,"Paycheck","07/07/2017","144040","Wright, Bob",,"-SPLIT-",-146.82,-4310.58
,"Sales Receipt","07/07/2017","115226","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",0.00,-4310.58
,"Sales Receipt","07/07/2017","115226","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-4310.58
,"Sales Receipt","07/07/2017","115226","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",424.00,-3886.58
,"Sales Receipt","07/07/2017","115226","Store Sales","MC/VISA","1500 · Undeposited Store Sales",686.34,-3200.24
,"Sales Receipt","07/07/2017","115226","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3200.24
,"Sales Receipt","07/07/2017","115226","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-3200.24
,"Sales Receipt","07/07/2017","115226","Store Sales","Payment for previously unpaid item","1500 · Undeposited Store Sales",5.51,-3194.73
,"Sales Receipt","07/08/2017","115227","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",23.18,-3171.55
,"Sales Receipt","07/08/2017","115227","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-3171.55
,"Sales Receipt","07/08/2017","115227","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",240.00,-2931.55
,"Sales Receipt","07/08/2017","115227","Store Sales","MC/VISA","1500 · Undeposited Store Sales",361.28,-2570.27
,"Sales Receipt","07/08/2017","115227","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-2570.27
,"Sales Receipt","07/08/2017","115227","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-2570.27
,"Sales Receipt","07/08/2017","115227","Store Sales","Payment for previously unpaid item","1500 · Undeposited Store Sales",6.78,-2563.49
,"Sales Receipt","07/09/2017","115228","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",0.00,-2563.49
,"Sales Receipt","07/09/2017","115228","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-2563.49
,"Sales Receipt","07/09/2017","115228","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",124.00,-2439.49
,"Sales Receipt","07/09/2017","115228","Store Sales","MC/VISA","1500 · Undeposited Store Sales",473.56,-1965.93
,"Sales Receipt","07/09/2017","115228","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-1965.93
,"Sales Receipt","07/09/2017","115228","Store Sales","DEBIT CARD","1500 · Undeposited Store Sales",0.00,-1965.93
,"Sales Receipt","07/09/2017","115228","Store Sales","Payment for previously unpaid item","1500 · Undeposited Store Sales",8.75,-1957.18
,"Bill Pmt -Check","07/09/2017","144041","Albert's Organics",,"2000 · Accounts Payable",-511.97,-2469.15
,"Bill Pmt -Check","07/09/2017","144042","Alternative Baking, Inc.",,"2000 · Accounts Payable",-397.60,-2866.75
,"Bill Pmt -Check","07/09/2017","144043","AWR Supplies, LLC",,"2000 · Accounts Payable",-259.20,-3125.95
,"Bill Pmt -Check","07/09/2017","144044","Fresh Tofu",,"2000 · Accounts Payable",-251.08,-3377.03
,"Bill Pmt -Check","07/10/2017","144045","Four Seasons",,"2000 · Accounts Payable",-686.38,-4063.41
,"Bill Pmt -Check","07/10/2017","144046","Veganized","Produce","2000 · Accounts Payable",-119.00,-4182.41
,"Sales Receipt","07/10/2017","115230","Store Sales","FAMILY FIRST","1500 · Undeposited Store Sales",28.85,-4153.56
,"Sales Receipt","07/10/2017","115230","Store Sales","AMEX  ENTER THE NET AMEX RATE = 3.25%","1500 · Undeposited Store Sales",0.00,-4153.56
,"Sales Receipt","07/10/2017","115230","Store Sales","CASH & CHECKS","1500 · Undeposited Store Sales",186.00,-3967.56
,"Sales Receipt","07/10/2017","115230","Store Sales","MC/VISA","1500 · Undeposited Store Sales",288.09,-3679.47
,"Sales Receipt","07/10/2017","115230","Store Sales","DISCOVER","1500 · Undeposited Store Sales",0.00,-3679.47
